Data,Regione,Prodotto,Segmento,Unità_Vendute,Prezzo_Unitario,Costo_Unitario,Spesa_Marketing,Contatti_Marketing
2024-07-05,Centro,Prodotto B,Enterprise,52,482.93,10.03,1502.77,936
2024-10-26,Sud,Prodotto C,Enterprise,75,295.1,103.56,1127.43,359
2023-09-11,Sud,Prodotto C,Small Business,5,481.28,209.77,3416.47,868
2023-05-22,Centro,Prodotto D,Small Business,37,283.06,46.42,3952.5,985
2024-03-28,Nord,Prodotto B,Mid-Market,80,275.88,14.76,1807.19,952
2024-05-26,Est,Prodotto B,Enterprise,36,294.61,33.77,4069.86,609
2024-11-06,Est,Prodotto B,Enterprise,12,36.12,122.13,3314.46,346
2023-11-10,Centro,Prodotto A,Mid-Market,89,292.38,61.86,4003.38,654
2023-11-02,Est,Prodotto C,Mid-Market,84,308.48,186.48,2160.39,909
2023-12-15,Nord,Prodotto D,Small Business,27,488.48,85.3,3092.99,190
2023-03-07,Est,Prodotto A,Enterprise,63,163.38,107.1,2224.75,470
2024-10-16,Est,Prodotto C,Small Business,93,52.99,201.91,3524.37,502
2023-05-06,Ovest,Prodotto C,Mid-Market,64,391.73,206.12,3856.82,512
2023-01-05,Sud,Prodotto D,Small Business,73,280.08,148.45,4688.82,443
2023-07-27,Est,Prodotto B,Enterprise,67,262.49,159.73,2265.3,478
2024-10-22,Centro,Prodotto B,Mid-Market,44,222.23,194,3957.46,690
2024-08-27,Est,Prodotto C,Small Business,60,276.16,105.03,4289.29,87
2023-03-19,Ovest,Prodotto C,Enterprise,88,464.26,130.44,4326.24,200
2024-09-25,Nord,Prodotto A,Small Business,92,223.16,14.86,4802.67,996
2024-06-07,Centro,Prodotto B,Enterprise,33,110.94,87.3,320.91,306
2023-01-07,Nord,Prodotto A,Mid-Market,28,222.96,118.26,3044.94,458
2024-10-10,Nord,Prodotto C,Enterprise,86,378.39,23.18,695.01,355
2024-01-23,Sud,Prodotto B,Mid-Market,48,135.12,11.06,4920.44,878
2023-06-19,Est,Prodotto B,Small Business,70,261.09,72.74,3560.88,858
2023-02-21,Sud,Prodotto D,Enterprise,63,352.49,75.96,3825.82,765
2024-09-08,Ovest,Prodotto C,Small Business,64,259.45,42.61,1470.5,846
2024-03-25,Nord,Prodotto B,Small Business,69,196.68,137.53,1900.8,463
2023-12-15,Ovest,Prodotto A,Enterprise,81,332.33,126.26,2819.63,171
2023-11-11,Ovest,Prodotto C,Small Business,29,173.47,15.59,2472.53,65
2023-10-03,Centro,Prodotto C,Small Business,90,56.69,126.25,3066.77,753
2023-01-18,Centro,Prodotto B,Enterprise,68,157.2,148.36,2175.14,696
2023-10-22,Sud,Prodotto A,Enterprise,52,282.47,29.27,4011.53,895
2023-12-18,Centro,Prodotto B,Enterprise,13,346.99,128.08,1967.71,960
2023-05-21,Sud,Prodotto D,Mid-Market,50,272.89,225.58,3500.65,42
2024-04-15,Sud,Prodotto B,Small Business,86,55.24,83.86,4816.55,864
2024-09-23,Est,Prodotto D,Mid-Market,16,483.9,95.83,1546.37,596
2024-01-09,Est,Prodotto A,Mid-Market,9,347,240.57,2108.98,691
2023-05-15,Est,Prodotto C,Enterprise,43,319.48,55.02,4845.09,384
2023-07-10,Ovest,Prodotto D,Small Business,53,245.97,152.34,4503.4,706
2023-03-02,Sud,Prodotto B,Mid-Market,68,200.43,132.3,3507.42,713
2024-06-24,Sud,Prodotto A,Mid-Market,50,483.46,135.8,919.46,270
2024-08-03,Centro,Prodotto D,Small Business,21,106.93,237.84,3422.98,60
2024-08-13,Est,Prodotto D,Mid-Market,40,109.07,93.79,1397.1,706
2024-01-02,Nord,Prodotto A,Enterprise,69,166.4,62.51,1733.02,122
2024-01-21,Ovest,Prodotto D,Enterprise,43,379.29,142.53,1718.56,242
2023-09-13,Nord,Prodotto C,Mid-Market,58,312.22,59.24,4788.95,876
2023-04-24,Centro,Prodotto A,Enterprise,94,263.37,84.59,297.06,519
2024-06-03,Ovest,Prodotto D,Mid-Market,58,271.16,202.54,2319.32,392
2023-07-14,Ovest,Prodotto C,Enterprise,53,184.4,18.26,3888.1,860
2024-04-13,Ovest,Prodotto C,Enterprise,35,139.13,40.67,4355.79,190
2023-09-18,Sud,Prodotto C,Mid-Market,90,77.43,108.81,3944.57,780
2024-07-11,Est,Prodotto A,Small Business,17,469.32,137.71,1581.1,127
2023-05-18,Sud,Prodotto D,Mid-Market,22,295.69,75.78,2899.51,583
2023-06-11,Sud,Prodotto D,Mid-Market,82,473.7,194.9,4870.21,928
2024-03-27,Ovest,Prodotto C,Enterprise,85,28.92,78.76,2210.16,10
2024-02-06,Sud,Prodotto B,Small Business,32,363.76,6.09,3004.53,871
2023-03-12,Sud,Prodotto C,Small Business,22,169.1,18.38,3895.94,694
2023-07-08,Ovest,Prodotto D,Small Business,21,121.77,7.12,1801.15,400
2023-12-22,Centro,Prodotto C,Small Business,30,359.5,140.94,749.74,510
2023-09-21,Centro,Prodotto B,Mid-Market,55,343.17,39.23,2117.6,285
2024-07-29,Ovest,Prodotto D,Enterprise,51,47.96,11.28,4945.05,883
2024-07-18,Est,Prodotto B,Small Business,25,244.05,149.6,880.24,936
2024-08-12,Est,Prodotto C,Mid-Market,90,84.81,145.04,280.34,980
2023-07-05,Centro,Prodotto B,Mid-Market,98,187.5,168.19,2655.4,863
2024-09-19,Ovest,Prodotto A,Enterprise,86,230.16,59.12,1281.12,265
2023-11-15,Centro,Prodotto D,Small Business,23,404.42,7.5,1128.46,28
2023-09-15,Nord,Prodotto A,Mid-Market,88,307.93,128.8,3968.25,871
2023-06-17,Est,Prodotto C,Mid-Market,15,266.46,40.43,1278.74,478
2023-06-02,Est,Prodotto C,Mid-Market,29,25.94,149.16,1636.9,252
2024-04-27,Centro,Prodotto C,Mid-Market,2,444.63,203.02,1366.33,870
2024-09-09,Sud,Prodotto C,Mid-Market,49,412.08,67.51,4168.31,89
2024-09-24,Nord,Prodotto A,Mid-Market,35,153.62,137.41,408.45,456
2023-02-23,Sud,Prodotto C,Mid-Market,41,129.43,77.59,2339.97,806
2024-11-22,Ovest,Prodotto C,Mid-Market,27,214.39,177.4,3140.46,447
2024-09-26,Centro,Prodotto D,Small Business,39,160.77,242.86,222.05,601
2023-02-08,Sud,Prodotto D,Enterprise,57,91.36,215.64,1665.04,746
2024-11-24,Ovest,Prodotto D,Enterprise,20,160.76,245.66,2432.44,404
2024-09-20,Centro,Prodotto C,Small Business,26,457.37,123.73,4061.3,687
2024-02-22,Est,Prodotto A,Enterprise,55,293.75,82.78,1207.28,245
2024-03-09,Centro,Prodotto A,Small Business,31,192.59,27.38,4009.17,732
2024-02-01,Nord,Prodotto A,Small Business,64,435.42,7.13,2060.12,95
2023-09-26,Sud,Prodotto A,Small Business,49,172.38,130.73,3224.79,952
2024-06-16,Est,Prodotto C,Mid-Market,44,61.26,76.47,2406,65
2024-10-31,Sud,Prodotto A,Enterprise,70,270.42,94.53,4292.32,412
2023-10-29,Ovest,Prodotto D,Small Business,62,386.21,50.51,884.61,606
2024-10-15,Centro,Prodotto B,Enterprise,64,70.39,93.22,474.87,794
2024-05-18,Est,Prodotto C,Small Business,89,252.21,132.54,2829.87,37
2024-08-18,Centro,Prodotto B,Mid-Market,47,451.79,237.46,4076.45,141
2023-12-15,Centro,Prodotto D,Small Business,81,111.41,230.11,170.88,710
2024-01-20,Centro,Prodotto B,Enterprise,13,386.22,164.8,4075.06,212
2023-02-16,Est,Prodotto B,Mid-Market,84,224.58,146.56,1429.1,460
2024-05-12,Centro,Prodotto B,Small Business,33,127.4,172.26,3606.24,981
2024-11-22,Sud,Prodotto D,Enterprise,46,481.13,43.93,1100.39,50
2023-01-09,Centro,Prodotto A,Mid-Market,18,89.69,117.64,4556.87,752
2023-10-20,Sud,Prodotto B,Mid-Market,23,215.6,92.53,4126.75,764
2023-05-07,Ovest,Prodotto B,Mid-Market,86,203.1,190.7,342.58,951
2024-05-24,Ovest,Prodotto C,Mid-Market,82,384.57,212,638.31,181
2024-03-28,Sud,Prodotto A,Mid-Market,25,128.61,61.8,3471.06,649
2024-07-22,Nord,Prodotto A,Enterprise,79,255.68,195.22,2517.09,662
2023-06-22,Est,Prodotto D,Mid-Market,41,101.84,172.89,2843.37,146
2024-04-07,Nord,Prodotto C,Small Business,37,157.09,43.15,1087.38,164
2024-09-09,Centro,Prodotto B,Enterprise,44,97.28,88.73,1838.5,714
2023-03-13,Ovest,Prodotto D,Mid-Market,76,116.58,197.16,189.43,421
2023-04-18,Est,Prodotto A,Mid-Market,71,422.8,212.52,4135.54,265
2023-11-16,Est,Prodotto D,Mid-Market,9,359.92,213.7,2866.52,907
2024-06-15,Sud,Prodotto B,Enterprise,98,389.75,111.92,1564.03,337
2023-06-24,Nord,Prodotto C,Enterprise,81,246.46,93.2,1158.78,954
2023-03-14,Est,Prodotto B,Mid-Market,43,364.05,216.09,1754.44,823
2023-08-10,Sud,Prodotto C,Small Business,72,450.65,116.54,4652.55,715
2024-06-15,Centro,Prodotto B,Enterprise,26,462.83,154.37,4665.19,533
2024-11-16,Nord,Prodotto A,Mid-Market,52,473.47,190.31,4353.85,442
2024-01-02,Ovest,Prodotto A,Small Business,4,234.4,12.57,963.28,958
2023-10-11,Est,Prodotto D,Small Business,15,235.85,118.73,3749.93,598
2024-05-22,Est,Prodotto B,Mid-Market,71,219.14,107.74,3852.81,950
2023-01-08,Sud,Prodotto B,Small Business,30,431.68,115.03,3122.38,531
2024-01-15,Centro,Prodotto A,Mid-Market,29,270.44,5.65,985.16,197
2023-05-16,Nord,Prodotto C,Enterprise,63,434.39,223.76,999.44,734
2024-06-17,Est,Prodotto B,Mid-Market,84,325.47,173.22,4639.09,220
2024-05-13,Ovest,Prodotto C,Small Business,3,498.59,227.23,4842.19,187
2023-06-09,Centro,Prodotto D,Enterprise,29,339.44,146.19,2038.89,57
2024-02-07,Sud,Prodotto C,Enterprise,90,159.59,95.71,3530.48,693
2023-01-16,Sud,Prodotto D,Small Business,89,150.33,145.79,196.17,368
2023-03-11,Centro,Prodotto C,Small Business,35,494.21,67.73,522.67,134
2024-06-13,Nord,Prodotto C,Enterprise,81,74.54,137.2,4781.1,25
2023-08-06,Sud,Prodotto C,Mid-Market,37,59.43,169.06,3852.24,835
2024-07-16,Est,Prodotto A,Small Business,76,247.92,249.97,852.23,138
2023-07-14,Nord,Prodotto B,Mid-Market,46,302.54,79.59,1163.47,366
2024-04-06,Nord,Prodotto B,Enterprise,65,321.15,22.99,4993.7,666
2023-09-05,Nord,Prodotto D,Mid-Market,63,27.23,98.15,4252.72,502
2024-07-11,Sud,Prodotto D,Small Business,23,484.28,14.17,3581.11,363
2023-11-11,Centro,Prodotto A,Small Business,74,123.29,243.5,822.15,583
2024-02-08,Sud,Prodotto A,Enterprise,49,266.85,154.91,2125.64,841
2024-06-13,Ovest,Prodotto B,Enterprise,54,276.56,68.04,603.55,297
2024-05-08,Sud,Prodotto B,Enterprise,27,287.05,151.57,3416.53,184
2023-12-04,Est,Prodotto B,Enterprise,53,283.93,68.24,311.86,988
2023-05-22,Ovest,Prodotto A,Mid-Market,33,398.39,40.2,3459.84,600
2024-10-05,Est,Prodotto C,Small Business,6,22.82,128.44,454.12,605
2023-01-24,Sud,Prodotto B,Mid-Market,74,417.77,8.72,1390.47,321
2023-05-13,Ovest,Prodotto C,Enterprise,55,459.86,203.4,2030.51,418
2023-02-15,Sud,Prodotto D,Mid-Market,43,65.9,107.45,4434.44,962
2023-12-31,Nord,Prodotto B,Small Business,3,176.6,9.67,4294.93,542
2023-12-28,Nord,Prodotto C,Mid-Market,82,18.29,238.8,2289.47,33
2024-05-02,Ovest,Prodotto C,Small Business,67,495.04,216.43,1998.25,430
2024-08-29,Centro,Prodotto A,Mid-Market,22,76.36,218.78,3265.06,184
2024-03-15,Ovest,Prodotto B,Enterprise,88,463.33,177.46,2272.69,558
2023-07-14,Est,Prodotto C,Small Business,85,289.3,68.82,1615.97,842
2024-06-18,Ovest,Prodotto D,Mid-Market,16,375.05,168.91,4786.1,496
2024-03-20,Sud,Prodotto C,Mid-Market,35,354.25,211.88,2734.18,971
2024-01-13,Est,Prodotto B,Small Business,10,434.53,163.78,3883.82,525
2024-07-26,Est,Prodotto B,Enterprise,9,358.67,181.53,801.07,561
2024-11-09,Ovest,Prodotto B,Small Business,43,185.22,166.93,2414.34,684
2023-07-24,Est,Prodotto C,Enterprise,46,402.11,139.45,4041.36,549
2024-03-18,Ovest,Prodotto C,Enterprise,92,207.32,160.73,914.25,838
2023-01-11,Ovest,Prodotto A,Enterprise,64,386.06,57.25,449.23,375
2024-06-04,Centro,Prodotto D,Enterprise,66,86.76,93.02,1309.45,313
2023-01-30,Centro,Prodotto A,Enterprise,88,392.25,150.21,650.78,70
2023-12-18,Centro,Prodotto B,Enterprise,50,277.81,185.54,2805.74,395
2023-04-29,Centro,Prodotto A,Enterprise,60,119.38,136.96,4860.34,952
2023-10-02,Est,Prodotto A,Small Business,34,135.33,171.55,3909.62,51
2024-05-04,Ovest,Prodotto A,Small Business,50,172.62,73.82,2306.84,947
